correctAnswer,gridLocation,shape,dots,cumulativetime,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,group,date,expName,psychopyVersion,OS,frameRate,session,phase.thisRepN,phase.thisTrialN,phase.thisN,phase.thisIndex,phase.ran
x,"[-0.125,-0.125]",square,2,153.973,x,0.624,31,0,31,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[-0.125,0.125]",diamond,2,155.672,x,1.195,32,0,32,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[0.125,0.125]",square,3,156.939,m,0.749,33,0,33,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[0.125,-0.125]",diamond,2,158.344,x,0.895,34,0,34,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[-0.125,-0.125]",diamond,3,159.994,m,1.134,35,0,35,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[-0.125,0.125]",diamond,3,161.494,x,0.99,36,0,36,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[0.125,0.125]",diamond,2,162.483,x,0.473,37,0,37,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[0.125,-0.125]",square,3,164.1,m,1.098,38,0,38,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[-0.125,-0.125]",diamond,2,165.15,x,0.546,39,0,39,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[-0.125,0.125]",square,3,166.616,m,0.959,40,0,40,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[0.125,0.125]",diamond,2,167.738,x,0.613,41,0,41,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[0.125,-0.125]",diamond,2,169.472,x,1.218,42,0,42,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[-0.125,-0.125]",diamond,2,170.572,x,0.594,43,0,43,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[-0.125,0.125]",diamond,2,172.104,x,1.016,44,0,44,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[0.125,0.125]",diamond,2,173.111,x,0.499,45,0,45,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[0.125,-0.125]",diamond,2,174.295,x,0.677,46,0,46,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[-0.125,-0.125]",square,2,175.3,x,0.489,47,0,47,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[-0.125,0.125]",square,3,176.811,m,1.007,48,0,48,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[0.125,0.125]",square,3,177.918,m,0.599,49,0,49,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
